,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
267,Hyundai,NEW  SANTRO,2020,Automatic,"31,631",2nd,Petrol,"₹5,91,499","₹11,564/month"
268,Honda,City,2018,Manual,"74,708",1st,Petrol,"₹7,66,799","₹14,991/month"
269,Skoda,Rapid,2018,Automatic,"75,836",1st,Diesel,"₹7,54,499","₹14,751/month"
270,Maruti,Wagon  R  1.0,2018,Manual,"23,484",1st,Petrol,"₹4,76,499","₹9,316/month"
271,Hyundai,Creta,2017,Manual,"91,536",1st,Petrol,"₹9,97,199","₹18,726/month"
272,Toyota,Corolla  Altis,2009,Automatic,"95,772",2nd,Petrol,"₹5,56,299","₹10,876/month"
273,Hyundai,Grand  i10,2019,Manual,"36,543",1st,Petrol,"₹5,46,099","₹10,676/month"
274,Maruti,Wagon  R  1.0,2017,Manual,"57,522",1st,Petrol,"₹4,19,199","₹8,195/month"
275,Hyundai,Grand  i10,2020,Manual,"24,969",1st,Petrol,"₹5,82,099","₹11,380/month"
276,Maruti,Alto  K10,2017,Manual,"35,222",1st,Petrol,"₹3,76,499","₹7,361/month"
277,Hyundai,Grand  i10,2019,Manual,"65,057",1st,Petrol,"₹5,73,799","₹11,218/month"
278,Maruti,IGNIS,2018,Manual,"84,109",2nd,Petrol,"₹4,65,099","₹9,093/month"
279,Hyundai,Elite  i20,2018,Manual,"52,854",2nd,Diesel,"₹8,15,999","₹15,324/month"
280,Maruti,Wagon  R  1.0,2019,Manual,"33,450",2nd,Petrol,"₹4,65,499","₹9,101/month"
281,Hyundai,Grand  i10,2019,Manual,"66,230",1st,Petrol,"₹5,70,999","₹11,163/month"
282,Maruti,IGNIS,2018,Manual,"52,203",1st,Petrol,"₹5,01,799","₹9,810/month"
283,Honda,City,2017,Manual,"60,842",1st,Petrol,"₹7,64,699","₹14,950/month"
284,Hyundai,NEW  SANTRO,2020,Manual,"31,550",1st,Petrol,"₹5,38,699","₹10,532/month"
285,Hyundai,Elite  i20,2018,Manual,"80,579",1st,Petrol,"₹7,04,699","₹13,777/month"
286,Maruti,S  PRESSO,2020,Manual,"11,036",1st,Petrol,"₹5,07,999","₹9,931/month"
287,Hyundai,Grand  i10,2017,Manual,"50,191",2nd,Petrol,"₹5,29,599","₹10,354/month"
288,Honda,Jazz,2016,Manual,"72,290",1st,Petrol,"₹6,49,099","₹12,690/month"
289,Maruti,Alto  K10,2017,Manual,"39,794",1st,Petrol,"₹3,72,799","₹7,288/month"
290,Maruti,Vitara  Brezza,2019,Automatic,"47,374",1st,Diesel,"₹10,55,899","₹19,829/month"
291,Maruti,Vitara  Brezza,2020,Manual,"78,551",1st,Petrol,"₹9,27,199","₹17,412/month"
292,Maruti,Wagon  R  1.0,2014,Manual,"59,499",1st,Petrol,"₹3,65,999","₹7,155/month"
293,Hyundai,Verna,2018,Automatic,"90,344",1st,Diesel,"₹9,88,899","₹18,571/month"
294,Hyundai,Grand  i10,2017,Manual,"31,859",2nd,Petrol,"₹5,31,899","₹10,399/month"
295,Hyundai,Creta,2018,Manual,"31,788",1st,Petrol,"₹12,71,599","₹23,879/month"
296,Maruti,S  PRESSO,2020,Manual,"39,157",1st,Petrol,"₹4,61,699","₹9,026/month"
297,Hyundai,i20  Active,2016,Manual,"53,292",1st,Petrol,"₹6,50,199","₹12,712/month"
298,Hyundai,NEW  SANTRO,2019,Automatic,"35,906",1st,Petrol,"₹5,30,299","₹10,367/month"
299,MG,HECTOR,2020,Automatic,"18,546",1st,Petrol,"₹17,60,299","₹33,057/month"
300,Hyundai,Creta,2020,Manual,"57,923",1st,Diesel,"₹14,18,599","₹26,640/month"
301,Hyundai,Grand  i10,2017,Manual,"97,687",1st,Petrol,"₹5,59,499","₹10,938/month"
302,Maruti,Alto  800,2019,Manual,"15,794",1st,Petrol,"₹3,48,099","₹6,805/month"
303,Hyundai,GRAND  I10  NIOS,2020,Manual,"20,211",1st,Petrol,"₹6,80,799","₹13,310/month"
304,Maruti,Alto  K10,2017,Manual,"33,134",1st,Petrol,"₹3,61,799","₹7,073/month"
305,Maruti,Alto  K10,2017,Manual,"49,686",1st,Petrol,"₹3,73,699","₹7,306/month"
306,Maruti,Ciaz,2019,Manual,"30,901",2nd,Petrol,"₹8,52,599","₹16,011/month"
307,Maruti,Wagon  R  1.0,2013,Manual,"53,633",2nd,Petrol,"₹3,42,399","₹6,694/month"
308,Maruti,Celerio  X,2020,Manual,"29,715",1st,Petrol,"₹5,52,999","₹10,811/month"
309,Hyundai,Creta,2018,Manual,"50,591",1st,Diesel,"₹13,26,299","₹24,907/month"
310,Ford,FREESTYLE,2020,Manual,"16,900",1st,Petrol,"₹6,83,799","₹13,368/month"
311,Ford,Ecosport,2019,Manual,"61,406",1st,Petrol,"₹8,22,199","₹15,440/month"
312,Maruti,Alto  800,2019,Manual,"34,278",1st,Petrol,"₹3,20,699","₹6,270/month"
313,Hyundai,Grand  i10,2017,Manual,"28,645",2nd,Petrol,"₹5,38,799","₹10,534/month"
314,Maruti,Alto  K10,2018,Manual,"10,151",1st,Petrol,"₹4,21,199","₹8,235/month"
